,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH
StrongSeed_LogisticRegression_tourney_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Stetson,Iowa St,Illinois,Auburn,North Carolina,Long Beach St,Colgate,Col Charleston,Grambling,Tennessee,Akron,Samford,Houston,Marquette,Oakland,Duke,Northwestern,Iowa St,Michigan St,Long Beach St,TCU,Texas,Houston,Marquette,San Diego St,Michigan St,Gonzaga,Houston,San Diego St,Oregon,Michigan St
WeakSeed_LogisticRegression_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,Duquesne,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Texas,Oregon,Gonzaga,Nebraska,Florida,NC State,Wisconsin,San Diego St,Duquesne,Col Charleston,Colgate,Gonzaga,Oregon,Duke,NC State,Iowa St,Colgate,Oregon,Marquette,Michigan St,Houston,Oregon
Winner_LogisticRegression_tourney_avg_5,Stetson,Iowa St,Illinois,Auburn,San Diego St,Duquesne,Washington St,Northwestern,North Carolina,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,Tennessee,Akron,Samford,Gonzaga,Oregon,Texas,TCU,Houston,Marquette,Oakland,Duke,Wisconsin,NC State,Florida,Nebraska,Northwestern,Iowa St,Duquesne,San Diego St,Michigan St,Long Beach St,Colgate,Col Charleston,TCU,Texas,Oregon,Gonzaga,Houston,Marquette,NC State,Duke,San Diego St,Iowa St,Michigan St,Colgate,Gonzaga,Oregon,Houston,Marquette,San Diego St,Michigan St,Oregon,Houston,Michigan St,Oregon,Oregon
StrongSeed_RandomForestClassifier_tourney_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Yale,North Carolina,Arizona,Colgate,Col Charleston,Purdue,St Peter's,Creighton,Kansas,Longwood,Marquette,Oakland,Duke,Northwestern,S Dakota St,North Carolina,Arizona,Purdue,Virginia,Longwood,Marquette,Yale,Col Charleston,Gonzaga,Duke,S Dakota St,Virginia,S Dakota St
WeakSeed_RandomForestClassifier_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,BYU,UAB,Mississippi St,Dayton,New Mexico,St Mary's CA,Utah St,Virginia,Oregon,Gonzaga,Nebraska,Boise St,Texas Tech,James Madison,Yale,BYU,Col Charleston,New Mexico,Gonzaga,Oregon,Duke,Texas Tech,S Dakota St,New Mexico,Virginia,Marquette,Col Charleston,Marquette,Virginia
Winner_RandomForestClassifier_tourney_avg_5,Connecticut,S Dakota St,Illinois,Yale,UAB,BYU,Washington St,Northwestern,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,New Mexico,Dayton,Mississippi St,Purdue,St Peter's,Creighton,Kansas,Gonzaga,Oregon,Virginia,Utah St,Longwood,Marquette,Oakland,Duke,James Madison,Texas Tech,Boise St,Nebraska,Northwestern,S Dakota St,BYU,Yale,North Carolina,Arizona,New Mexico,Col Charleston,Purdue,Virginia,Oregon,Gonzaga,Longwood,Marquette,Texas Tech,Duke,Yale,S Dakota St,Col Charleston,New Mexico,Gonzaga,Virginia,Duke,Marquette,S Dakota St,Col Charleston,Virginia,Marquette,S Dakota St,Virginia,S Dakota St
StrongSeed_XGBClassifier_tourney_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Yale,North Carolina,Arizona,Colgate,Alabama,Grambling,St Peter's,Akron,Kansas,Longwood,Marquette,Oakland,Duke,Connecticut,S Dakota St,Mississippi St,Arizona,Utah St,Colorado St,Longwood,Marquette,Yale,St Mary's CA,Utah St,Longwood,S Dakota St,Oregon,New Mexico
WeakSeed_XGBClassifier_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,BYU,UAB,Mississippi St,Nevada,New Mexico,St Mary's CA,Utah St,Colorado St,Oregon,McNeese St,Nebraska,Boise St,Texas Tech,James Madison,Yale,BYU,St Mary's CA,New Mexico,Kansas,Oregon,Duke,Oakland,S Dakota St,New Mexico,Oregon,Marquette,New Mexico,Longwood,Longwood
Winner_XGBClassifier_tourney_avg_5,Connecticut,S Dakota St,Illinois,Yale,UAB,BYU,Washington St,Northwestern,North Carolina,Arizona,Colgate,Alabama,St Mary's CA,New Mexico,Nevada,Mississippi St,Grambling,St Peter's,Akron,Kansas,McNeese St,Oregon,Colorado St,Utah St,Longwood,Marquette,Oakland,Duke,James Madison,Texas Tech,Boise St,Nebraska,Connecticut,S Dakota St,BYU,Yale,Mississippi St,Arizona,New Mexico,St Mary's CA,Utah St,Colorado St,Oregon,Kansas,Longwood,Marquette,Oakland,Duke,Yale,S Dakota St,St Mary's CA,New Mexico,Utah St,Oregon,Longwood,Marquette,S Dakota St,New Mexico,Oregon,Longwood,New Mexico,Longwood,New Mexico
StrongSeed_VotingClassifier_tourney_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Stetson,S Dakota St,Morehead St,Yale,North Carolina,Long Beach St,Colgate,Col Charleston,Grambling,St Peter's,Akron,Kansas,Longwood,Marquette,Oakland,Duke,Northwestern,S Dakota St,Michigan St,Long Beach St,Utah St,Virginia,Longwood,Marquette,Yale,Col Charleston,McNeese St,Longwood,S Dakota St,Oregon,New Mexico
WeakSeed_VotingClassifier_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,Utah St,Virginia,Oregon,McNeese St,Nebraska,Boise St,NC State,James Madison,Yale,Duquesne,Col Charleston,New Mexico,McNeese St,Oregon,James Madison,NC State,S Dakota St,New Mexico,Oregon,NC State,New Mexico,Longwood,Longwood
Winner_VotingClassifier_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Washington St,Northwestern,North Carolina,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Kansas,McNeese St,Oregon,Virginia,Utah St,Longwood,Marquette,Oakland,Duke,James Madison,NC State,Boise St,Nebraska,Northwestern,S Dakota St,Duquesne,Yale,Michigan St,Long Beach St,New Mexico,Col Charleston,Utah St,Virginia,Oregon,McNeese St,Longwood,Marquette,NC State,James Madison,Yale,S Dakota St,Col Charleston,New Mexico,McNeese St,Oregon,Longwood,NC State,S Dakota St,New Mexico,Oregon,Longwood,New Mexico,Longwood,Longwood
StrongSeed_MLPClassifier_tourney_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Stetson,S Dakota St,Morehead St,Yale,Wagner,Long Beach St,Colgate,Col Charleston,Montana St,Tennessee,Akron,Kansas,Houston,WKU,Oakland,Duke,Northwestern,Washington St,Michigan St,Dayton,Montana St,Virginia,Texas A&M,WKU,UAB,Grand Canyon,McNeese St,James Madison,Duquesne,Oregon,New Mexico
WeakSeed_MLPClassifier_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,Duquesne,UAB,Michigan St,Dayton,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Florida,NC State,James Madison,UAB,Duquesne,Grand Canyon,New Mexico,McNeese St,Oregon,James Madison,NC State,Duquesne,New Mexico,Oregon,NC State,New Mexico,NC State,NC State
Winner_MLPClassifier_tourney_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Washington St,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Dayton,Michigan St,Montana St,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,WKU,Oakland,Duke,James Madison,NC State,Florida,Texas A&M,Northwestern,Washington St,Duquesne,UAB,Michigan St,Dayton,New Mexico,Grand Canyon,Montana St,Virginia,Oregon,McNeese St,Texas A&M,WKU,NC State,James Madison,UAB,Duquesne,Grand Canyon,New Mexico,McNeese St,Oregon,James Madison,NC State,Duquesne,New Mexico,Oregon,NC State,New Mexico,NC State,NC State
StrongSeed_GaussianNB_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Kentucky,Vermont,Connecticut,Iowa St,North Carolina,Arizona,Purdue,Tennessee,Houston,Marquette,Connecticut,Alabama,Purdue,Houston,Connecticut,Purdue,Arizona
WeakSeed_GaussianNB_tourney_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,San Diego St,BYU,Alabama,New Mexico,Kansas,Oregon,James Madison,Kentucky,BYU,Arizona,Tennessee,Kentucky,Arizona,Houston,Purdue
Winner_GaussianNB_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Vermont,James Madison,NC State,Boise St,Texas A&M,Connecticut,Iowa St,BYU,San Diego St,North Carolina,Arizona,New Mexico,Alabama,Purdue,Tennessee,Oregon,Kansas,Houston,Marquette,Kentucky,James Madison,Connecticut,BYU,Alabama,Arizona,Purdue,Tennessee,Houston,Kentucky,Connecticut,Arizona,Purdue,Houston,Arizona,Purdue,Arizona
StrongSeed_DecisionTreeClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Stetson,Iowa St,Illinois,Auburn,North Carolina,Long Beach St,Baylor,Alabama,Montana St,Tennessee,Creighton,Samford,Longwood,Marquette,Oakland,Duke,Northwestern,Iowa St,North Carolina,Nevada,TCU,Tennessee,Longwood,Florida,Auburn,North Carolina,Samford,Longwood,Auburn,Creighton,New Mexico
WeakSeed_DecisionTreeClassifier_tourney_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,BYU,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,Gonzaga,Texas A&M,Florida,NC State,Wisconsin,Auburn,BYU,Grand Canyon,New Mexico,Samford,Creighton,Wisconsin,NC State,BYU,New Mexico,Creighton,NC State,New Mexico,NC State,NC State
Winner_DecisionTreeClassifier_tourney_avg_rating,Stetson,Iowa St,Illinois,Auburn,UAB,BYU,Drake,Northwestern,North Carolina,Long Beach St,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,Tennessee,Creighton,Samford,Gonzaga,Oregon,Virginia,TCU,Longwood,Marquette,Oakland,Duke,Wisconsin,NC State,Florida,Texas A&M,Northwestern,Iowa St,BYU,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,TCU,Tennessee,Creighton,Samford,Longwood,Florida,NC State,Wisconsin,Auburn,BYU,North Carolina,New Mexico,Samford,Creighton,Longwood,NC State,Auburn,New Mexico,Creighton,NC State,New Mexico,NC State,NC State
StrongSeed_RandomForestClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Yale,North Carolina,Arizona,Baylor,Col Charleston,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Duke,Connecticut,Iowa St,Michigan St,Arizona,Purdue,Colorado St,Houston,Marquette,Connecticut,Grand Canyon,Kansas,Houston,Connecticut,Kansas,Connecticut
WeakSeed_RandomForestClassifier_tourney_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,Duquesne,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,San Diego St,Illinois,Grand Canyon,New Mexico,Kansas,Oregon,Duke,NC State,Illinois,Arizona,Oregon,Marquette,Arizona,Houston,Houston
Winner_RandomForestClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Yale,San Diego St,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Boise St,Texas A&M,Connecticut,Iowa St,Illinois,San Diego St,Michigan St,Arizona,New Mexico,Grand Canyon,Purdue,Colorado St,Oregon,Kansas,Houston,Marquette,NC State,Duke,Connecticut,Illinois,Grand Canyon,Arizona,Kansas,Oregon,Houston,Marquette,Connecticut,Arizona,Kansas,Houston,Connecticut,Houston,Houston
StrongSeed_VotingClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Duke,Connecticut,Drake,Michigan St,Arizona,Purdue,Tennessee,Houston,Marquette,Connecticut,Grand Canyon,Kansas,Houston,Connecticut,Tennessee,Connecticut
WeakSeed_VotingClassifier_tourney_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,BYU,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,UAB,BYU,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,BYU,New Mexico,Tennessee,Marquette,New Mexico,Marquette,Marquette
Winner_VotingClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,UAB,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Boise St,Texas A&M,Connecticut,Drake,BYU,UAB,Michigan St,Arizona,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Marquette,NC State,James Madison,Connecticut,BYU,Grand Canyon,New Mexico,Kansas,Tennessee,Houston,Marquette,Connecticut,New Mexico,Tennessee,Marquette,Connecticut,Marquette,Marquette
StrongSeed_XGBClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Kentucky,Duke,Connecticut,Drake,Michigan St,Nevada,Purdue,Tennessee,Houston,Marquette,Auburn,Michigan St,Kansas,Houston,BYU,Tennessee,New Mexico
WeakSeed_XGBClassifier_tourney_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,BYU,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,Auburn,BYU,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,Kentucky,BYU,New Mexico,Tennessee,Kentucky,New Mexico,Houston,Houston
Winner_XGBClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,UAB,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Boise St,Texas A&M,Connecticut,Drake,BYU,Auburn,Michigan St,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Marquette,Kentucky,James Madison,Auburn,BYU,Michigan St,New Mexico,Kansas,Tennessee,Houston,Kentucky,BYU,New Mexico,Tennessee,Houston,New Mexico,Houston,New Mexico
StrongSeed_LogisticRegression_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Yale,North Carolina,Long Beach St,Baylor,Alabama,Purdue,St Peter's,Creighton,Samford,Longwood,WKU,Oakland,Duke,FL Atlantic,Drake,North Carolina,Dayton,Purdue,Virginia,Nebraska,Florida,UAB,North Carolina,Purdue,Duke,Illinois,Purdue,North Carolina
WeakSeed_LogisticRegression_tourney_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,FL Atlantic,Drake,BYU,UAB,Michigan St,Dayton,New Mexico,Grand Canyon,TCU,Virginia,South Carolina,McNeese St,Nebraska,Florida,Texas Tech,James Madison,UAB,Illinois,Alabama,Baylor,Samford,Creighton,Duke,Oakland,Illinois,Dayton,Creighton,Florida,North Carolina,Duke,Purdue
Winner_LogisticRegression_tourney_avg_rating,Connecticut,S Dakota St,Illinois,Yale,UAB,BYU,Drake,FL Atlantic,North Carolina,Long Beach St,Baylor,Alabama,Grand Canyon,New Mexico,Dayton,Michigan St,Purdue,St Peter's,Creighton,Samford,McNeese St,South Carolina,Virginia,TCU,Longwood,WKU,Oakland,Duke,James Madison,Texas Tech,Florida,Nebraska,FL Atlantic,Drake,Illinois,UAB,North Carolina,Dayton,Baylor,Alabama,Purdue,Virginia,Creighton,Samford,Nebraska,Florida,Oakland,Duke,UAB,Illinois,North Carolina,Dayton,Purdue,Creighton,Duke,Florida,Illinois,North Carolina,Purdue,Duke,North Carolina,Purdue,Purdue
StrongSeed_MLPClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Vermont,Connecticut,Drake,North Carolina,Arizona,Purdue,Virginia,Houston,Marquette,Connecticut,North Carolina,Kansas,Houston,Connecticut,Creighton,Connecticut
WeakSeed_MLPClassifier_tourney_avg_rating,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,San Diego St,BYU,Grand Canyon,New Mexico,Kansas,Creighton,James Madison,Kentucky,BYU,Arizona,Creighton,Kentucky,Arizona,Houston,Houston
Winner_MLPClassifier_tourney_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Vermont,James Madison,NC State,Boise St,Texas A&M,Connecticut,Drake,BYU,San Diego St,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Virginia,Creighton,Kansas,Houston,Marquette,Kentucky,James Madison,Connecticut,BYU,North Carolina,Arizona,Kansas,Creighton,Houston,Kentucky,Connecticut,Arizona,Creighton,Houston,Connecticut,Houston,Houston
StrongSeed_GaussianNB_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Duke,Connecticut,Drake,North Carolina,Arizona,Purdue,Tennessee,Houston,Boise St,Connecticut,North Carolina,Purdue,Houston,Illinois,Purdue,Arizona
